name,price,capacity_w,capacity_va
APC SUA2200RM2U,1299.99,1980,2200
Tripp Lite SMART2200VS,1037.5,1600,2200
Tripp Lite SMART3000NET,1824.72,2400,3000
Tripp Lite SU2200RTXL2UA,1390,1600,2200
Tripp Lite SMARTINT2200VS,,1600,2200
Tripp Lite SMX1500XLRT2U,840.36,1350,1500
CyberPower OL3000RTXL2U,2119.94,2700,3000
APC BE350R,89.5,200,350
APC BK500EI,,300,500
APC BK650EI,179.99,400,650
APC BR1200GI,,720,1200
APC SC420,,260,420
APC SC620I,,390,620
APC SMT1500RM2U,725.99,1000,1440
APC SMT750,497.99,500,750
APC SMX1000I,1051.68,800,1000
APC SUM3000RMXLI2U,9033,2850,3000
Tripp Lite INTERNET550U,76.98,300,550
Tripp Lite OMNI1500LCDT,188.07,810,1500
Tripp Lite SMART1000LCD,177.9,500,1000
Tripp Lite SMART2200RMXLN,1460.45,1920,2200
Tripp Lite SMART2200SLT,,1600,2200
Tripp Lite SU3000RTXLCD2U,1781.97,2700,3000
Tripp Lite SU3000RTXLCD3U,2327.04,2700,3000
CyberPower BRG1500AVRLCD,,900,1500
CyberPower CP825LCD,,450,825
CyberPower CPS1500AVR,459.95,950,1500
CyberPower OR2200PFCRT2Ua,,1300,2200
CyberPower PR3000LCDRTXL2U,,3000,3000
APC BR1500MS,,900,1500
APC BE650G1,84.03,390,650
APC SRT5KRMXLI,4733.01,4500,5000
APC SURTD2200XLIM,2280.17,1540,2200
Tripp Lite SU1500XLCD,928.55,1350,1500
APC SMT1500RMUS,699.99,1000,1500
APC SMX3000LVNC,2240.94,2700,3000
Tripp Lite SM1500RMXL2UTAA,833.49,1350,1500
CyberPower CP750LCD,173.3,420,750
CyberPower PR1000LCD,439.95,700,1000
APC SMT750I,620.09,500,750
APC SMX1500RM2UNC,1760.8,1200,1500
APC SMX3000RMLV2UNC,2499.99,2700,3000
Tripp Lite AVR700U,104.99,350,700
Tripp Lite SM3000RMXL2UTAA,,2880,3000
CyberPower OL2200RTXL2U,1619.95,1800,2200
Tripp Lite SMC15002URM,654.87,1000,1500
APC BE450G,,257,450
APC BE325R,,185,325
APC BE650G1-CN,113.47,390,650
APC BE750G,,450,750
APC BN700MC,,420,700
APC BR900GI,,540,900
APC BX1000G,,600,1000
APC BX1500G,,865,1500
APC SC450RMI1U,369.99,280,450
